CUENTA;MONTO;FECHA
5-105-74895-7;1223;19/12/2023
1-109-77140-2;1267;28/12/2023
4-103-64023-9;4;31/01/2023
4-106-21446-6;490;05/01/2023
6-106-70279-1;79;09/08/2023
8-108-87189-1;47;29/09/2023
9-102-14309-9;384;19/10/2023
9-105-35812-3;488;08/02/2023
8-109-29865-5;1173;05/04/2023
7-101-85792-7;1361;12/06/2023
2-103-91116-2;784;17/02/2023
7-108-60979-2;577;01/07/2023
4-104-63189-4;1284;06/01/2023
1-104-45777-7;307;21/08/2023
2-109-63781-8;537;24/12/2023
4-106-44211-1;68;30/07/2023
9-109-65664-3;255;01/10/2023
6-103-26588-1;745;14/08/2023
5-106-27055-2;440;24/12/2023
2-105-96478-5;1326;23/02/2023
9-107-54072-8;560;31/08/2023
5-108-66409-3;916;04/05/2023
9-104-33792-7;1458;28/07/2023
5-107-42709-2;1297;29/11/2023
1-109-28859-8;239;26/05/2023
2-104-15346-7;630;06/05/2023
8-108-59566-8;515;29/09/2023
9-101-41505-9;58;02/10/2023
9-104-66518-9;559;27/09/2023
5-103-18732-9;1079;02/04/2023
2-109-72794-9;217;07/09/2023
7-103-58422-2;1387;08/05/2023
3-103-84191-5;406;08/08/2023
2-105-49642-9;724;24/02/2023
7-105-28853-9;47;09/01/2023
2-109-41712-7;394;03/12/2023
8-106-92908-2;180;02/01/2023
5-108-96823-9;497;09/03/2023
1-106-16202-5;1056;05/10/2023
1-106-19577-6;408;25/04/2023
5-109-82719-7;395;13/08/2023
9-109-40013-3;832;14/01/2023
4-103-33231-6;764;24/09/2023
6-104-99193-8;881;23/04/2023
2-109-40459-9;230;16/07/2023
2-109-72794-9;578;11/06/2023
6-102-29432-9;215;27/04/2023
7-101-67704-1;109;01/08/2023
8-105-63917-1;559;17/07/2023
3-102-37303-1;1030;30/07/2023
2-105-64218-8;300;24/06/2023
1-104-22514-9;277;03/08/2023
2-105-69785-5;434;25/10/2023
2-108-23688-8;199;07/08/2023
8-107-83912-4;1121;20/05/2023
1-108-39276-7;675;25/11/2023
1-101-23777-7;105;21/05/2023
3-103-21514-8;283;15/10/2023
6-104-33752-4;323;23/08/2023
6-109-66294-4;17;14/06/2023
8-104-99423-1;201;08/01/2023
4-109-18517-4;1364;03/12/2023
5-106-60134-6;1450;30/09/2023
1-109-58896-4;627;03/03/2023
5-103-44815-3;1073;31/07/2023
3-104-20650-1;414;13/12/2023
5-104-93915-1;644;30/11/2023
6-101-31184-7;261;24/11/2023
9-107-17568-3;43;26/01/2023
1-106-55045-4;288;30/03/2023
5-108-91695-5;361;07/01/2023
6-106-46637-6;299;11/01/2023
2-103-63889-8;785;29/08/2023
6-103-55890-1;921;05/09/2023
5-108-89999-6;94;12/11/2023
3-102-17713-1;759;27/07/2023
8-108-44221-3;343;29/01/2023
9-106-39368-7;1248;30/08/2023
1-108-41500-7;891;12/08/2023
7-103-14537-7;762;27/07/2023
8-108-77359-9;1279;18/07/2023
1-107-54218-8;1141;28/07/2023
2-107-86096-2;182;07/01/2023
4-107-12841-6;358;21/05/2023
8-104-70329-9;140;31/10/2023
1-106-40823-7;692;03/03/2023
3-104-57631-6;1317;16/09/2023
5-104-46371-3;1206;04/03/2023
8-103-54936-4;441;20/05/2023
9-101-25222-3;890;17/01/2023
3-104-19210-8;760;31/03/2023
9-106-79108-7;1456;15/09/2023
7-102-54850-2;301;23/03/2023
8-107-81278-8;565;14/08/2023
3-105-22737-7;124;18/05/2023
3-104-60139-7;713;20/05/2023
6-102-55802-4;317;20/12/2023
1-105-53772-3;688;13/02/2023
9-101-74374-5;861;17/05/2023
6-109-24169-9;465;06/09/2023
2-107-53175-9;674;21/07/2023
3-105-22665-1;531;05/04/2023
3-105-69611-6;1121;16/04/2023
9-103-64248-8;791;13/09/2023
1-108-34896-5;254;03/05/2023
7-104-14937-1;276;07/03/2023
7-104-90047-4;67;03/03/2023
2-105-64218-8;1019;14/02/2023
2-106-40073-2;711;14/03/2023
9-106-79108-7;1057;30/11/2023
2-101-46868-8;1430;04/08/2023
7-102-50859-8;65;21/07/2023
6-105-83373-1;1080;24/02/2023
7-102-77508-2;998;13/01/2023
4-107-95641-6;583;01/07/2023
5-103-54598-5;61;07/01/2023
5-107-67597-7;459;20/08/2023
6-101-90526-1;232;22/05/2023
6-102-62939-2;585;07/09/2023
6-107-85091-5;397;11/11/2023
7-108-28950-8;590;17/11/2023
9-109-10795-3;471;16/03/2023
1-104-28435-1;959;06/06/2023
8-105-19674-8;929;19/12/2023
3-103-19367-6;647;08/12/2023
5-101-94589-4;669;28/11/2023
6-102-75330-4;1208;18/02/2023
5-105-40187-9;1004;16/06/2023
7-106-64006-5;783;21/12/2023
5-107-27584-7;545;06/04/2023
2-104-94547-4;184;25/01/2023
3-102-31761-2;198;27/02/2023
8-106-29885-1;49;23/04/2023
8-108-53841-2;216;17/04/2023
9-107-54072-8;1068;31/05/2023
5-104-41294-6;463;29/05/2023
4-109-18517-4;1115;22/06/2023
2-104-92210-9;144;25/08/2023
2-107-86096-2;1484;24/02/2023
9-107-19875-6;793;20/02/2023
4-106-44211-1;1166;29/03/2023
1-104-61411-7;529;15/04/2023
2-104-92210-9;368;26/07/2023
3-109-71832-3;484;26/07/2023
4-101-93624-6;341;17/06/2023
5-101-22574-3;161;21/07/2023
6-104-33752-4;1352;07/07/2023
8-101-28866-9;984;23/11/2023
9-102-86849-6;337;18/03/2023
1-108-58389-5;175;03/05/2023
9-101-25222-3;1394;12/08/2023
1-106-95668-1;1158;07/08/2023
1-108-25504-5;106;30/03/2023
4-109-92043-9;497;17/08/2023
5-102-54147-4;175;16/02/2023
7-105-91894-3;529;30/06/2023
7-103-97408-1;1448;14/12/2023
8-109-81365-6;1289;11/03/2023
2-108-60312-2;479;13/07/2023
6-108-92446-6;1481;21/11/2023
6-108-96734-6;505;16/03/2023
2-103-26138-8;1126;07/10/2023
1-102-19834-7;181;24/06/2023
8-109-32361-6;1248;06/12/2023
9-104-59162-4;176;26/03/2023
8-101-12726-2;474;19/09/2023
3-102-66904-8;1385;09/09/2023
7-103-55286-9;307;13/10/2023
4-104-19872-6;694;28/12/2023
3-104-77451-3;128;18/05/2023
2-103-68873-6;1489;06/07/2023
1-103-96182-5;310;27/06/2023
1-103-57205-7;455;23/06/2023
5-104-30004-9;599;28/06/2023
6-101-52048-3;629;01/02/2023
6-103-48800-4;334;14/01/2023
7-109-70825-9;198;26/09/2023
9-102-91594-7;961;29/07/2023
9-106-79108-7;94;02/07/2023
1-105-94426-5;373;12/04/2023
1-107-54218-8;427;15/02/2023
2-101-13079-9;283;24/01/2023
7-103-63784-4;114;29/10/2023
2-104-72264-4;1332;01/12/2023
6-105-14472-2;1481;10/12/2023
8-109-79971-1;534;29/08/2023
1-107-64527-3;1051;28/01/2023
5-108-91695-5;822;18/05/2023
6-101-52048-3;188;08/03/2023
4-106-53499-4;741;03/02/2023
6-107-11620-7;1182;22/11/2023
4-109-53624-1;185;18/05/2023
3-109-15790-3;756;20/12/2023
4-109-18517-4;68;01/10/2023
7-103-97264-3;1030;28/03/2023
7-109-46363-5;672;04/09/2023
6-102-75330-4;604;03/03/2023
5-103-10602-6;578;21/04/2023
5-108-96823-9;484;17/03/2023
4-102-88620-9;213;18/04/2023
4-108-15651-5;1422;23/12/2023
6-103-75038-7;380;02/04/2023
1-103-27217-3;1312;21/07/2023
6-107-80790-9;53;26/01/2023
7-106-52817-2;1072;11/09/2023
2-105-47425-6;316;04/02/2023
3-102-77464-7;423;27/08/2023
3-103-51833-9;105;11/01/2023
3-108-94057-5;184;01/11/2023
4-108-56835-1;59;02/06/2023
6-107-43258-6;265;11/05/2023
7-106-25202-3;345;26/06/2023
9-101-10345-1;256;12/02/2023
9-102-91594-7;429;17/05/2023
4-102-88620-9;1006;12/04/2023
4-106-92912-8;784;22/07/2023
4-109-48767-2;865;16/11/2023
3-106-70167-7;799;27/09/2023
3-109-70102-6;1403;09/03/2023
9-103-29128-3;172;10/11/2023
8-109-86471-7;832;19/08/2023
7-102-48020-9;50;30/01/2023
6-103-76317-4;998;23/02/2023
1-102-57974-9;849;06/08/2023
3-106-18685-8;887;27/08/2023
1-103-94168-5;251;06/08/2023
2-103-19610-9;379;01/04/2023
4-106-56474-5;410;24/02/2023
9-103-60658-2;757;14/08/2023
5-107-45873-9;994;28/09/2023
1-102-57479-4;1087;31/05/2023
8-107-89065-5;1085;03/09/2023
8-101-28258-9;590;06/01/2023
2-109-31959-5;357;17/01/2023
7-103-63784-4;692;20/02/2023
4-109-60038-2;407;09/03/2023
2-108-49727-9;961;13/01/2023
3-107-75532-5;1051;18/02/2023
3-108-24026-2;648;01/12/2023
3-108-36721-2;401;16/03/2023
3-109-15790-3;242;13/04/2023
5-102-43502-7;142;24/05/2023
5-109-32137-3;825;17/05/2023
2-108-40031-3;917;04/02/2023
1-109-77140-2;1404;27/10/2023
3-104-50059-8;541;31/10/2023
1-104-86823-1;102;04/10/2023
2-105-52102-7;968;05/12/2023
1-104-85490-8;1497;29/09/2023
3-106-98588-9;1441;28/01/2023
3-101-86272-9;147;21/05/2023
8-102-17156-1;529;02/09/2023
4-102-88620-9;400;21/09/2023
4-106-86899-6;1209;17/12/2023
6-102-29432-9;153;05/05/2023
4-101-31285-1;1168;10/09/2023
9-101-25222-3;830;06/09/2023
8-108-68837-8;861;19/09/2023
2-102-79589-9;344;01/09/2023
5-106-60134-6;76;07/04/2023
6-101-41740-3;617;04/01/2023
7-108-17410-1;290;05/07/2023
9-101-82731-2;1436;04/12/2023
1-103-13825-7;1306;21/09/2023
4-106-20202-7;448;11/09/2023
6-103-43112-9;526;01/12/2023
1-101-44560-3;105;10/11/2023
1-106-59267-3;965;10/04/2023
3-101-44552-3;1292;09/07/2023
7-108-18506-3;722;30/12/2023
8-107-82012-8;725;31/08/2023
1-103-29987-5;218;01/08/2023
1-108-57224-2;351;04/10/2023
4-102-44477-1;603;15/10/2023
6-104-32824-8;212;10/02/2023
8-109-33167-9;414;23/12/2023
5-101-82092-2;1369;08/05/2023
9-107-91749-3;1212;22/02/2023
8-106-29885-1;1288;17/05/2023
3-104-48132-4;659;26/01/2023
3-103-54636-2;1455;05/05/2023
3-105-96067-4;722;06/09/2023
5-104-85606-6;1158;02/04/2023
1-109-14656-3;1495;15/09/2023
1-103-68196-8;1093;10/06/2023
4-102-54827-8;391;30/08/2023
6-106-20511-3;1235;23/08/2023
4-104-63189-4;279;04/09/2023
5-105-25754-5;193;19/11/2023
1-108-47786-9;1425;17/02/2023
9-105-20288-6;1370;23/04/2023
4-105-44804-7;286;22/12/2023
5-105-59700-1;486;19/10/2023
1-105-20069-4;549;06/09/2023
2-105-20549-7;571;05/07/2023
7-107-90464-2;1184;20/03/2023
4-106-81448-8;806;11/04/2023
8-102-17156-1;457;12/06/2023
4-102-81838-2;1464;22/11/2023
8-108-63411-6;1470;11/01/2023
1-105-66867-2;13;28/12/2023
4-104-23823-1;659;12/08/2023
5-104-93915-1;1200;14/09/2023
9-108-11301-9;1381;24/02/2023
4-105-47691-1;588;24/07/2023
5-107-52521-8;1457;27/04/2023
2-107-57254-5;1039;06/04/2023
9-105-32653-4;406;11/11/2023
4-109-82666-1;89;22/09/2023
6-108-92446-6;126;29/08/2023
8-107-31676-7;558;19/07/2023
6-103-46942-4;457;10/08/2023
2-104-46936-5;1032;02/09/2023
5-103-28471-3;926;03/03/2023
6-101-31184-7;1426;05/12/2023
2-106-48219-7;52;08/10/2023
8-107-81278-8;1119;22/09/2023
8-105-86834-1;1416;06/11/2023
6-101-31184-7;1210;10/11/2023
8-107-89065-5;493;10/09/2023
2-104-92357-6;709;30/07/2023
9-105-40619-1;1188;08/09/2023
2-105-23690-7;1206;27/01/2023
2-104-10423-2;469;16/02/2023
4-104-89904-7;65;05/09/2023
5-109-39502-5;556;25/02/2023
8-103-54936-9;504;09/12/2023
8-107-83912-4;411;23/02/2023
9-105-32653-4;68;24/07/2023
7-109-24859-2;754;06/06/2023
3-103-14383-9;848;02/01/2023
5-101-10486-4;1390;14/12/2023
5-107-67597-7;1094;30/04/2023
4-108-85031-9;1014;27/11/2023
2-101-18229-2;695;24/09/2023
3-107-18757-2;521;08/02/2023
5-106-68217-4;273;22/09/2023
6-105-67516-4;347;07/11/2023
7-101-33259-8;203;12/01/2023
4-106-45900-2;314;01/04/2023
5-109-76922-2;1102;16/02/2023
9-108-88150-2;1247;11/03/2023
9-105-35812-3;1073;27/02/2023
6-106-40938-5;1019;28/06/2023
8-105-29962-6;840;30/03/2023
2-101-61450-1;1076;22/05/2023
3-102-77464-7;249;16/05/2023
1-105-91149-3;842;14/01/2023
4-104-20247-8;25;29/11/2023
6-102-37701-4;421;14/09/2023
1-108-30750-3;1462;03/09/2023
5-105-35408-6;451;22/07/2023
8-104-45938-4;1287;07/02/2023
9-101-40956-7;661;01/05/2023
1-104-51435-1;1289;09/01/2023
2-105-64218-8;1126;14/04/2023
2-104-92558-8;832;02/05/2023
5-106-57237-3;360;02/01/2023
8-107-64338-8;1341;11/08/2023
1-109-65197-8;653;19/04/2023
4-109-25193-6;324;15/08/2023
5-105-35408-6;442;27/05/2023
9-108-11301-9;1161;13/06/2023
1-104-86823-1;70;01/09/2023
4-103-64023-9;994;14/12/2023
4-103-55617-1;1457;15/12/2023
3-101-69701-2;741;26/12/2023
8-107-69004-3;958;29/11/2023
7-101-85792-7;1396;14/04/2023
4-106-86899-6;884;16/04/2023
8-107-81278-8;481;06/11/2023
3-104-47911-6;42;23/05/2023
7-104-43367-9;136;20/09/2023
8-101-85142-4;400;01/05/2023
3-103-35930-8;588;12/07/2023
8-109-29865-5;1195;24/09/2023
9-107-97476-9;1000;20/03/2023
7-106-70565-4;556;08/12/2023
5-102-26454-2;589;14/11/2023
5-101-78199-6;700;28/12/2023
6-106-15202-9;665;28/04/2023
5-104-31998-2;150;07/10/2023
3-104-50059-8;1491;15/10/2023
4-106-87678-7;346;24/03/2023
4-106-44211-1;344;01/11/2023
4-105-56776-3;268;11/01/2023
7-103-97264-3;199;10/10/2023
9-105-20288-6;372;03/07/2023
4-104-58049-3;1077;20/07/2023
5-107-36926-4;1435;19/04/2023
4-109-60038-2;1035;30/04/2023
3-106-82670-9;200;06/06/2023
5-101-44442-9;1365;06/08/2023
6-108-32781-5;1370;14/09/2023
8-104-99423-1;210;31/10/2023
7-109-46363-5;526;27/02/2023
9-102-81114-7;102;03/10/2023
4-102-44477-1;261;14/04/2023
9-106-80438-8;1112;13/11/2023
2-106-91728-8;288;17/01/2023
2-105-64218-8;282;27/12/2023
7-104-37207-9;840;16/10/2023
8-102-28846-1;1398;13/02/2023
2-103-64375-2;366;20/07/2023
3-104-14287-2;657;06/03/2023
8-104-70716-1;1306;27/05/2023
7-107-89304-4;926;07/11/2023
2-107-16822-5;474;27/10/2023
9-102-91594-7;226;10/08/2023
2-105-34885-4;1232;26/12/2023
1-107-50223-7;83;27/12/2023
5-103-50388-2;222;22/02/2023
1-102-57974-9;1396;14/07/2023
6-102-72344-6;437;25/10/2023
6-101-26508-2;121;25/08/2023
1-109-65197-8;532;10/10/2023
6-105-14472-2;409;14/07/2023
6-104-39004-5;1236;11/04/2023
2-104-92357-6;1288;27/11/2023
3-105-83520-1;1291;28/02/2023
4-108-96179-7;162;28/11/2023
1-108-25504-5;1244;30/04/2023
9-109-53558-8;865;16/02/2023
9-102-50514-9;544;28/02/2023
4-104-83692-1;405;13/12/2023
4-106-53499-4;552;07/03/2023
9-108-29931-4;662;07/07/2023
2-109-31959-5;682;18/11/2023
6-109-39092-6;1414;12/04/2023
5-105-59643-2;1046;14/06/2023
4-109-18517-4;556;01/04/2023
9-106-58690-4;1326;06/01/2023
8-102-40647-8;692;05/06/2023
2-104-30806-3;60;05/10/2023
1-109-77140-2;138;25/05/2023
3-102-99397-2;588;24/06/2023
3-109-70793-7;437;19/03/2023
5-108-66409-3;466;26/11/2023
6-109-55849-7;290;26/08/2023
8-109-27283-8;600;02/12/2023
9-102-10658-1;342;03/04/2023
8-107-70358-2;1067;13/11/2023
8-104-61106-7;271;17/09/2023
1-104-23061-2;161;23/12/2023
9-103-64248-8;729;24/12/2023
4-101-11437-3;1385;27/03/2023
6-106-67685-4;741;03/12/2023
5-108-65621-3;442;02/08/2023
9-107-24515-9;551;25/09/2023
2-106-23456-1;851;30/09/2023
2-103-77968-6;1160;25/06/2023
1-107-18594-5;596;10/07/2023
6-102-93158-2;409;07/02/2023
3-106-95716-4;375;11/01/2023
4-101-51631-7;997;23/08/2023
3-106-95794-3;224;26/11/2023
1-109-98799-4;270;07/08/2023
4-109-15997-1;691;25/03/2023
8-106-29885-1;1166;12/10/2023
2-102-38483-3;210;22/07/2023
2-103-65730-9;232;28/02/2023
9-107-54072-8;577;17/12/2023
5-101-17558-5;213;29/05/2023
1-109-94430-1;740;10/05/2023
9-106-36097-6;317;30/09/2023
5-104-93915-1;1065;24/06/2023
5-105-62179-1;1428;21/12/2023
2-103-64375-2;1182;19/05/2023
3-102-17713-1;585;18/03/2023
8-109-79971-1;1102;10/04/2023
1-104-22514-9;655;03/06/2023
6-106-46637-6;1500;01/10/2023
4-109-53624-1;983;15/08/2023
2-106-22162-4;1414;25/12/2023
6-105-14472-2;654;01/09/2023
2-109-63781-8;913;01/06/2023
7-102-94760-7;198;31/05/2023
2-104-82261-8;130;24/09/2023
2-109-70803-4;377;16/03/2023
3-108-85056-2;222;16/07/2023
4-103-78629-2;124;15/12/2023
5-107-99828-1;191;24/12/2023
3-107-75532-5;972;02/08/2023
1-104-59231-8;1446;10/04/2023
5-105-74895-7;551;30/07/2023
4-105-71817-3;481;03/04/2023
6-102-40972-6;834;09/01/2023
7-109-65024-7;162;05/09/2023
6-105-30043-2;654;10/08/2023
3-108-94057-5;357;03/07/2023
9-109-65664-3;1330;10/11/2023
5-104-85847-4;542;10/04/2023
5-106-17738-6;259;28/05/2023
8-104-53325-2;328;13/09/2023
9-104-27967-4;330;05/05/2023
9-106-19703-3;1355;27/09/2023
3-107-33689-2;288;21/01/2023
4-107-19965-8;872;06/09/2023
4-106-86899-6;427;21/06/2023
4-109-53624-1;600;10/09/2023
6-105-14472-2;576;28/03/2023
8-105-29962-6;16;14/01/2023
8-103-91540-5;506;05/06/2023
5-106-57237-3;1360;01/07/2023
2-101-80212-6;966;07/11/2023
2-102-79589-9;737;07/03/2023
3-103-84191-5;1391;30/03/2023
8-108-92338-5;1000;09/02/2023
4-102-25357-6;972;15/02/2023
5-105-59700-1;239;25/01/2023
4-108-15651-5;881;30/11/2023
9-103-21576-5;511;14/01/2023
8-103-54936-9;954;31/03/2023
9-101-87528-5;1221;01/02/2023
3-103-84191-5;101;13/12/2023
6-102-44811-4;1117;07/02/2023
8-106-92908-2;988;29/10/2023
8-103-30682-7;1365;02/08/2023
3-104-13577-9;357;23/12/2023
4-107-16778-7;687;18/06/2023
7-104-75766-3;421;22/10/2023
8-106-75394-3;1001;16/02/2023
5-106-75650-7;423;21/01/2023
4-102-54827-8;659;13/03/2023
9-109-40013-3;623;23/08/2023
4-104-75639-8;1366;08/09/2023
8-102-61761-6;125;12/04/2023
9-103-54180-2;464;20/07/2023
8-108-77787-8;900;07/03/2023
1-101-68811-7;924;02/10/2023
1-103-27217-3;245;12/02/2023
4-107-19074-3;342;27/09/2023
5-103-90549-5;238;02/07/2023
8-109-14084-1;358;31/12/2023
9-103-98501-9;502;11/12/2023
8-104-68902-4;1050;20/09/2023
3-102-70203-5;1338;05/06/2023
8-103-54936-4;810;30/06/2023
8-102-23132-1;712;14/02/2023
6-101-38499-3;748;02/01/2023
8-106-92908-2;99;27/10/2023
3-109-71814-3;413;09/07/2023
3-104-14287-2;509;27/05/2023
6-103-46942-4;257;28/03/2023
3-102-50484-8;1052;23/05/2023
3-105-75359-9;1220;04/11/2023
5-105-59700-1;1128;24/05/2023
1-105-77211-6;1441;26/10/2023
7-101-57489-9;1066;20/07/2023
8-107-34817-5;167;15/11/2023
7-107-45090-6;418;17/01/2023
8-104-23179-5;356;08/09/2023
9-101-25222-3;348;18/12/2023
9-108-42001-5;439;07/09/2023
8-108-49842-1;489;03/04/2023
2-106-86527-4;848;23/03/2023
8-102-94353-2;531;26/10/2023
5-105-59700-1;611;28/11/2023
6-102-93158-2;1136;02/09/2023
2-106-48219-7;506;19/03/2023
7-102-50859-8;1002;21/11/2023
6-102-72344-6;1240;31/08/2023
2-105-52102-7;300;02/07/2023
4-107-42106-7;130;06/12/2023
8-105-41595-4;51;22/12/2023
8-106-65723-1;334;10/12/2023
3-102-85109-4;1033;22/07/2023
7-109-30722-8;1103;22/09/2023
3-104-32695-6;446;23/08/2023
3-101-72815-3;978;02/09/2023
2-109-75377-6;852;04/10/2023
9-104-27967-4;1320;23/09/2023
2-104-21416-6;241;27/10/2023
5-101-82092-2;173;23/12/2023
7-104-75766-3;239;16/08/2023
7-106-64006-5;239;19/12/2023
9-109-53558-8;465;27/09/2023
2-103-26843-9;1018;30/10/2023
9-105-75243-5;827;13/11/2023
1-108-34896-5;464;12/04/2023
4-105-16746-6;481;19/01/2023
6-103-43112-9;1172;24/06/2023
7-103-55286-9;1049;09/07/2023
4-106-56474-5;179;16/04/2023
8-109-14084-1;1327;12/05/2023
3-104-50228-2;194;16/11/2023
7-101-57489-9;638;15/12/2023
4-102-83344-8;580;20/05/2023
4-102-31144-3;1205;23/02/2023
7-104-91913-7;682;18/07/2023
4-108-96229-2;118;30/12/2023
8-102-38518-4;78;29/09/2023
2-104-95071-1;887;22/04/2023
9-107-30406-9;130;07/10/2023
7-109-84453-9;1133;05/10/2023
1-105-72502-4;349;30/01/2023
9-106-40357-3;375;22/04/2023
7-109-57854-2;257;21/08/2023
8-108-53841-2;1488;07/11/2023
2-104-10423-2;1178;24/03/2023
9-106-64286-8;1016;16/11/2023
2-107-53175-9;52;20/05/2023
9-109-40013-3;497;01/09/2023
8-105-29962-6;649;12/12/2023
1-101-87198-2;242;22/01/2023
5-108-41495-4;250;23/01/2023
7-105-83738-1;554;04/10/2023
9-103-29128-3;55;25/11/2023
9-106-18344-9;561;02/01/2023
9-109-90696-1;360;16/11/2023
9-106-58690-4;1350;18/11/2023
5-101-34165-8;404;30/05/2023
7-106-64006-5;818;18/06/2023
1-106-23489-6;612;25/08/2023
2-101-61230-4;982;10/01/2023
2-103-91116-2;450;03/03/2023
1-107-18594-5;1094;26/04/2023
4-105-16480-8;1340;15/03/2023
6-102-72344-6;1196;29/03/2023
2-107-52994-4;709;29/08/2023
3-101-72815-3;176;30/03/2023
6-107-80790-9;407;02/10/2023
9-109-90696-1;350;12/03/2023
8-108-35076-7;370;28/10/2023
6-105-14472-2;1302;23/12/2023
4-108-10885-5;818;28/02/2023
4-101-39236-8;536;01/09/2023
7-103-95909-2;132;09/02/2023
4-102-36166-6;1047;18/08/2023
4-104-89904-7;1220;04/11/2023
5-108-91695-5;542;10/07/2023
9-101-79582-1;955;19/01/2023
2-105-93777-4;215;26/04/2023
5-101-44442-9;449;08/12/2023
9-106-26518-7;463;29/05/2023
8-109-14084-1;974;30/04/2023
5-105-95750-8;1185;06/06/2023
9-103-60658-2;534;02/09/2023
3-102-37303-1;572;21/04/2023
2-101-75261-4;1384;30/12/2023
1-105-20069-4;1439;11/08/2023
8-107-81278-8;629;20/02/2023
8-108-59566-8;62;12/05/2023
1-109-58896-4;90;29/08/2023
9-104-53720-9;198;16/09/2023
2-105-10407-4;71;07/12/2023
9-103-54180-2;1358;22/04/2023
1-101-68811-7;546;02/03/2023
4-105-47691-1;468;03/03/2023
5-106-49720-8;1336;13/01/2023
8-104-23179-5;1339;29/08/2023
2-105-95430-8;1266;18/05/2023
9-101-82731-2;636;27/02/2023
9-102-86064-4;110;06/07/2023
3-105-75359-9;1398;27/08/2023
6-106-72516-5;1035;08/10/2023
2-104-92210-9;1288;01/02/2023
9-108-42001-5;500;24/09/2023
2-105-29024-3;337;22/04/2023
7-109-26095-6;486;21/11/2023
9-103-54180-2;843;07/02/2023
1-104-22514-9;733;10/05/2023
8-105-63917-1;230;16/11/2023
2-101-18229-2;473;03/08/2023
4-103-48586-3;174;16/10/2023
9-101-88144-7;177;06/04/2023
9-101-40956-7;906;09/05/2023
1-102-25400-2;420;28/02/2023
2-101-91208-9;200;20/01/2023
6-106-20062-5;350;10/05/2023
5-108-65621-3;1451;16/07/2023
9-104-61698-8;163;22/07/2023
3-102-37074-2;152;27/07/2023
3-105-26335-1;688;25/02/2023
6-105-67516-4;359;25/01/2023
2-106-91728-8;227;09/05/2023
4-106-87678-7;195;19/02/2023
9-103-53831-1;616;10/01/2023
2-106-23456-1;329;22/12/2023
4-103-33231-6;771;28/04/2023
9-105-68207-3;459;28/09/2023
9-101-25222-3;500;23/02/2023
6-104-32824-8;860;03/09/2023
5-106-68217-4;1435;06/03/2023
6-103-84101-2;624;03/06/2023
6-104-96201-6;106;22/03/2023
2-109-65207-5;1097;05/11/2023
9-106-58690-4;1012;29/07/2023
7-102-98724-2;133;28/01/2023
8-101-31188-9;430;27/08/2023
8-102-89678-8;434;26/03/2023
6-105-30043-2;1364;27/12/2023
7-106-12899-9;561;11/02/2023
7-106-50294-5;705;22/10/2023
9-108-92573-7;1022;22/11/2023
1-109-58896-4;811;20/08/2023
1-104-67809-4;843;01/12/2023
7-102-21532-8;92;15/10/2023
1-109-32806-4;1205;11/08/2023
8-108-87189-1;370;31/08/2023
3-104-48132-4;1327;08/10/2023
1-107-55557-9;693;07/12/2023
2-103-43997-9;448;28/02/2023
3-102-17476-3;109;13/12/2023
5-103-55170-5;1306;16/09/2023
8-107-17974-4;1085;30/01/2023
2-109-98725-2;918;26/04/2023
1-102-25400-2;1484;27/08/2023
3-103-35930-8;483;27/08/2023
7-102-37541-1;136;16/11/2023
8-108-68837-8;1487;02/01/2023
4-109-18517-4;807;12/12/2023
7-106-31543-3;76;02/09/2023
7-106-37046-3;313;26/12/2023
3-106-91252-7;248;09/03/2023
1-102-57974-9;590;07/11/2023
2-101-61230-4;432;31/10/2023
2-104-95071-1;473;26/06/2023
2-109-56711-2;557;01/01/2023
3-105-28377-1;342;10/03/2023
5-107-20167-7;123;28/06/2023
9-106-86307-7;225;05/12/2023
9-108-94655-7;655;13/07/2023
4-109-15997-1;388;17/04/2023
5-104-85847-4;1346;13/04/2023
4-109-18517-4;1180;28/06/2023
9-106-77656-9;193;08/07/2023
8-109-68261-1;984;02/01/2023
1-104-51435-1;444;01/07/2023
4-102-80541-6;275;21/02/2023
4-107-88358-3;441;03/09/2023
2-106-22162-4;717;29/07/2023
1-106-32913-1;316;26/11/2023
6-105-88242-3;387;28/02/2023
2-101-80421-5;107;13/08/2023
1-103-64238-8;952;14/04/2023
5-106-53967-9;116;17/05/2023
5-103-90549-5;289;14/09/2023
6-107-11620-7;1306;02/06/2023
1-102-19834-7;190;14/04/2023
2-104-22749-7;539;28/09/2023
5-102-26454-2;1355;01/05/2023
9-103-21576-5;631;15/08/2023
1-109-98338-3;347;04/07/2023
5-101-32125-8;260;04/07/2023
6-103-49642-6;86;15/08/2023
4-102-36166-6;653;14/10/2023
6-104-29580-4;756;17/08/2023
6-103-43112-9;1175;04/03/2023
6-101-90526-1;664;05/09/2023
7-106-28393-7;891;20/05/2023
4-105-44447-8;1211;20/03/2023
5-103-28471-3;1117;12/01/2023
6-103-64878-7;308;21/05/2023
1-105-46518-4;735;08/05/2023
5-101-93425-5;519;11/09/2023
8-104-74410-4;755;13/08/2023
9-102-10658-1;966;23/02/2023
4-104-27664-2;369;15/11/2023
9-107-30406-9;777;20/05/2023
4-105-44447-8;712;12/02/2023
1-107-74274-7;476;28/05/2023
4-107-88358-3;88;01/02/2023
2-104-38492-9;1047;11/05/2023
5-108-39178-4;145;22/05/2023
